Rank,Company,Industry,City,State,Zip Code,Website,Employees,Revenue,CEO
30,Verizon,Telecommunications,New York,New York,10036,verizon.com,99600,"$ 134,788,000,000",Hans Vestberg
31,Nvidia,Semiconductors and Other Electronic Components,Santa Clara,California,95051,nvidia.com,36000,"$ 130,497,000,000",Jensen Huang
32,Goldman Sachs,Commercial Banks,New York,New York,10282,goldmansachs.com,46500,"$ 126,853,000,000",David Solomon
33,Wells Fargo,Commercial Banks,San Francisco,California,94104,wellsfargo.com,217502,"$ 125,397,000,000",Charles Scharf
34,Valero Energy,Petroleum Refining,San Antonio,Texas,78249,valero.com,9910,"$ 123,974,000,000",Lane Riggs
35,Comcast,Telecommunications,Philadelphia,Pennsylvania,19103,comcast.com,182000,"$ 123,731,000,000",Brian Roberts
36,State Farm,Insurance: Property and Casualty (Mutual),Bloomington,Illinois,61710,statefarm.com,67381,"$ 122,951,000,000",Jon Farney
37,AT&T,Telecommunications,Dallas,Texas,75202,att.com,140990,"$ 122,336,000,000",John Stankey
38,Freddie Mac,Diversified Financials,McLean,Virginia,22102,freddiemac.com,8090,"$ 122,052,000,000",Michael Hutchins
39,Humana,Health Care: Insurance and Managed Care,Louisville,Kentucky,40202,humana.com,65680,"$ 117,761,000,000",James Rechtin
40,Morgan Stanley,Commercial Banks,New York,New York,10036,morganstanley.com,80478,"$ 107,285,000,000",Edward Pick
41,Target,General Merchandisers,Minneapolis,Minnesota,55403,target.com,440000,"$ 106,566,000,000",Brian Cornell
42,StoneX,Diversified Financials,New York,New York,10169,stonex.com,4500,"$ 99,888,000,000",Philip Smith
43,Tesla,Motor Vehicles & Parts,Austin,Texas,78725,tesla.com,125665,"$ 97,690,000,000",Elon Musk
44,Dell Technologies,"Computers, Office Equipment",Round Rock,Texas,78682,delltechnologies.com,108000,"$ 95,567,000,000",Michael Dell
45,PepsiCo,Food Consumer Products,Purchase,New York,10577,pepsico.com,319000,"$ 91,854,000,000",Ramon Laguarta
46,Walt Disney,Entertainment,Burbank,California,91521,waldisney.com,205040,"$ 91,361,000,000",Robert Iger
47,UPS,"Mail, Package and Freight Delivery",Atlanta,Georgia,30328,ups.com,372180,"$ 91,070,000,000",Carol Tomé
48,Johnson & Johnson,Pharmaceuticals,New Brunswick,New Jersey,8933,jnj.com,138100,"$ 88,821,000,000",Joaquin Duato
49,FedEx,"Mail, Package and Freight Delivery",Memphis,Tennessee,38120,fedex.com,422100,"$ 87,693,000,000",Rajesh Subramaniam
50,Archer Daniels Midland,Food Production,Chicago,Illinois,60601,adm.com,43213,"$ 85,530,000,000",Juan Luciano
51,Procter & Gamble,Household and Personal Products,Cincinnati,Ohio,45202,pginvestor.com,108000,"$ 84,039,000,000",Jon Moeller
52,Lowe's,Specialty Retailers: Other,Mooresville,North Carolina,28117,lowes.com,215500,"$ 83,674,000,000",Marvin Ellison
53,Energy Transfer,Pipelines,Dallas,Texas,75225,energytransfer.com,16248,"$ 82,671,000,000",Thomas Long
54,RTX,Aerospace & Defense,Arlington,Virginia,22209,rtx.com,186000,"$ 80,738,000,000",Christopher Calio
55,Albertsons,Food & Drug Stores,Boise,Idaho,83706,albertsonscompanies.com,196650,"$ 79,238,000,000",Susan Morris
56,Sysco,Wholesalers: Food and Grocery,Houston,Texas,77077,sysco.com,76000,"$ 78,844,000,000",Kevin Hourican
57,Progressive,Insurance: Property and Casualty (Stock),Mayfield Village,Ohio,44143,progressive.com,66308,"$ 75,372,000,000",Susan Patricia Griffith
58,American Express,Diversified Financials,New York,New York,10285,americanexpress.com,75100,"$ 74,201,000,000",Stephen Squeri
59,Lockheed Martin,Aerospace & Defense,Bethesda,Maryland,20817,lockheedmartin.com,121000,"$ 71,043,000,000",James Taiclet
60,MetLife,"Insurance: Life, Health (Stock)",New York,New York,10166,metlife.com,45000,"$ 70,986,000,000",Michel Khalaf
61,HCA Healthcare,Health Care: Medical Facilities,Nashville,Tennessee,37203,hcahealthcare.com,271000,"$ 70,603,000,000",Samuel Hazen
62,Prudential Financial,"Insurance: Life, Health (Stock)",Newark,New Jersey,7102,prudential.com,37936,"$ 70,405,000,000",Andrew Sullivan
63,Boeing,Aerospace & Defense,Arlington,Virginia,22202,boeing.com,172000,"$ 66,517,000,000",Kelly Ortberg
64,Caterpillar,Construction and Farm Machinery,Irving,Texas,75039,caterpillar.com,112900,"$ 64,809,000,000",Jospeh Creed
65,Merck,Pharmaceuticals,Rahway,New Jersey,7065,merck.com,74000,"$ 64,168,000,000",Robert Davis
66,Allstate,Insurance: Property and Casualty (Stock),Northbrook,Illinois,60062,allstate.com,55200,"$ 64,106,000,000",Thomas Wilson
67,Pfizer,Pharmaceuticals,New York,New York,10001,pfizer.com,81000,"$ 63,627,000,000",Albert Bourla
68,IBM,Information Technology Services,Armonk,New York,10504,ibm.com,284500,"$ 62,753,000,000",Arvind Krishna
69,New York Life Insurance,"Insurance: Life, Health (Mutual)",New York,New York,10010,newyorklife.com,15131,"$ 62,639,000,000",Craig DeSanto
70,Delta Airlines,Airlines,Atlanta,Georgia,30354,delta.com,103000,"$ 61,643,000,000",Edward Bastian
71,Publix Super Markets,Food & Drug Stores,Lakeland,Florida,33811,publix.com,255000,"$ 60,177,000,000",Kevin Murphy
72,Nationwide,Insurance: Property and Casualty (Mutual),Columbus,Ohio,43215,nationwide.com,22453,"$ 58,646,000,000",Kirt Walker
73,TD Synnex,Wholesalers: Electronics and Office Equipment,Fremont,California,94538,tdsynnex.com,25750,"$ 58,452,000,000",Patrick Zammit
74,United Airlines,Airlines,Chicago,Illinois,60606,united.com,107300,"$ 57,063,000,000",Scott Kirby
75,ConocoPhillips,"Mining, Crude-Oil Production",Houston,Texas,77079,conocophillips.com,11800,"$ 56,953,000,000",Ryan Lance
76,TJX,Specialty Retailers: Apparel,Framingham,Massachusetts,1701,tjx.com,364000,"$ 56,360,000,000",Ernie Herrman
77,AbbVie,Pharmaceuticals,North Chicago,Illinois,60064,abbvie.com,55000,"$ 56,334,000,000",Robert Michael
78,Enterprise Products Partners,Pipelines,Houston,Texas,77002,enterpriseproducts.com,7800,"$ 56,219,000,000",James Teague
79,Charter Communications,Telecommunications,Stamford,Connecticut,6902,charter.com,94500,"$ 55,085,000,000",Christopher Winfrey
80,Performance Food,Wholesalers: Food and Grocery,Richmond,Virginia,23238,pfgc.com,36815,"$ 54,681,000,000",George Holm
81,American Airlines,Airlines,Fort Worth,Texas,76155,aa.com,133300,"$ 54,211,000,000",Robert Isom
82,Capital One,Commercial Banks,McLean,Virginia,22102,capitalone.com,52600,"$ 53,938,000,000",Richard Fairbank
83,Cisco Systems,Network and Other Communications Equipment,San Jose,California,95134,cisco.com,90400,"$ 53,803,000,000",Charles Robbins
84,HP,"Computers, Office Equipment",Palo Alto,California,94304,hp.com,58000,"$ 53,559,000,000",Enrique Lores
85,Tyson Foods,Food Production,Springdale,Arkansas,72762,tysonfoods.com,138000,"$ 53,309,000,000",Donnie King
86,Intel,Semiconductors and Other Electronic Components,Santa Clara,California,95054,intel.com,108900,"$ 53,101,000,000",Lip-Bu Tan
87,Oracle,Computer Software,Austin,Texas,78741,oracle.com,159000,"$ 52,961,000,000",Safra Catz
88,Broadcom,Semiconductors and Other Electronic Components,Palo Alto,California,94304,broadcom.com,37000,"$ 52,432,000,000",Hock Tan
89,Deere,Construction and Farm Machinery,Moline,Illinois,61265,deere.com,55524,"$ 51,716,000,000",John May
90,Nike,Apparel,Beaverton,Oregon,97005,nike.com,79400,"$ 51,362,000,000",Elliott Hill
91,Liberty Mutual Insurance,Insurance: Property and Casualty (Stock),Boston,Massachusetts,2116,libertymutual.com,40000,"$ 50,429,000,000",Timothy Sweeney
92,Plains GP,Pipelines,Houston,Texas,77002,plains.com,4200,"$ 50,073,000,000",Wilfred Chiang
93,USAA,Insurance: Property and Casualty (Stock),San Antonio,Texas,78288,usaa.com,38018,"$ 48,560,000,000",Juan Andrade
94,Bristol-Myers Squibb,Pharmaceuticals,Princeton,New Jersey,8543,bms.com,34100,"$ 48,300,000,000",Christopher Boerner
95,Ingram Micro,Wholesalers: Electronics and Office Equipment,Irvine,California,92612,ingrammicro.com,26125,"$ 47,984,000,000",Paul Bay
96,General Dynamics,Aerospace & Defense,Reston,Virginia,20190,gd.com,117000,"$ 47,716,000,000",Phebe Novakovic
97,Coca-Cola,Beverages,Atlanta,Georgia,30313,coca-colacompany.com,69700,"$ 47,061,000,000",James Quincey
98,TIAA,"Insurance: Life, Health (Mutual)",New York,New York,10017,tiaa.org,15623,"$ 46,946,000,000",Thasunda Brown Duckett
99,Travelers,Insurance: Property and Casualty (Stock),New York,New York,10017,travelers.com,34000,"$ 46,423,000,000",Alan Schnitzer
100,Eli Lilly,Pharmaceuticals,Indianapolis,Indiana,46285,lilly.com,47000,"$ 45,043,000,000",David Ricks
101,Uber,Internet Services and Retailing,San Francisco,California,94158,uber.com,31100,"$ 43,978,000,000",Dara Khosrowshahi
102,Mass Mutual,"Insurance: Life, Health (Mutual)",Springfield,Massachusetts,1111,massmutual.com,11192,"$ 43,072,000,000",Roger Crandall
103,Dow,Chemicals,Midland,Michigan,48674,dow.com,36000,"$ 42,964,000,000",James Fitterling
104,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",Waltham,Massachusetts,2451,thermofisher.com,125000,"$ 42,879,000,000",Marc Casper
105,U.S. Bancorp,Commercial Banks,Minneapolis,Minnesota,55402,usbank.com,70263,"$ 42,712,000,000",Gunjan Kedia
106,World Kinect,Energy,Miami,Florida,33178,world-kinect.com,4745,"$ 42,168,000,000",Michael Kasbar
107,Abbott Laboratories,Medical Products and Equipment,Abbott Park,Illinois,60064,abbott.com,114000,"$ 41,950,000,000",Robert Ford
108,Best Buy,Specialty Retailers: Other,Richfield,Minnesota,55423,bestbuy.com,85000,"$ 41,528,000,000",Corie Barry
109,Northwestern Mutual,"Insurance: Life, Health (Mutual)",Milwaukee,Wisconsin,53202,northwesternmutual.com,8249,"$ 41,445,000,000",Timothy Gerend
110,Northrop Grumman,Aerospace & Defense,Falls Church,Virginia,22042,northropgrumman.com,97000,"$ 41,033,000,000",Kathy Warden
111,Molina Healthcare,Health Care: Insurance and Managed Care,Long Beach,California,90802,molinahealthcare.com,18000,"$ 40,650,000,000",Joseph Zubretsky
112,Dollar General,Specialty Retailers: Other,Goodlettsville,Tennessee,37072,dollargeneral.com,194200,"$ 40,612,000,000",Todd Vasos
113,Bank of New York,Commercial Banks,New York,New York,10286,bny.com,51800,"$ 39,914,000,000",Robin Vince
114,Warner Bros. Discovery,Entertainment,New York,New York,10003,wbd.com,35000,"$ 39,321,000,000",David Zaslav
115,CHS,Food Production,Inver Grove Heights,Minnesota,55077,chsinc.com,10730,"$ 39,261,000,000",Jay Debertin
116,Netflix,Entertainment,Los Gatos,California,95032,netflix.com,14000,"$ 39,001,000,000",Ted Sarandos & Greg Peters
117,Qualcomm,Semiconductors and Other Electronic Components,San Diego,California,92121,qualcomm.com,49000,"$ 38,962,000,000",Cristiano Amon
118,General Electric,Aerospace & Defense,Evendale,Ohio,45215,ge.com,53000,"$ 38,702,000,000",Lawrence Culp Jr.
119,Honeywell,Industrial Machinery,Charlotte,North Carolina,28202,honeywell.com,102000,"$ 38,498,000,000",Vimal Kapur
120,Salesforce,Computer Software,San Francisco,California,94105,salesforce.com,76453,"$ 37,895,000,000",Marc Benioff
121,Philip Morris,Tobacco,Stamford,Connecticut,6901,pmi.com,83100,"$ 37,878,000,000",Jacek Olczak
122,US Foods,Wholesalers: Food and Grocery,Rosemont,Illinois,60018,usfoods.com,30000,"$ 37,877,000,000",David Flitman
123,D.R. Horton,Homebuilders,Arlington,Texas,76011,drhorton.com,14766,"$ 36,801,000,000",Paul Romanowski
124,Lithia Motors,"Automotive Retailing, Services",Medford,Oregon,97501,lithiadriveway.com,30164,"$ 36,611,000,000",Bryan DeBoer
125,Mondelez,Food Consumer Products,Chicago,Illinois,60607,mondelezinternational.com,90000,"$ 36,441,000,000",Dirk Van de Put
126,Starbucks,Food Services,Seattle,Washington,98134,starbucks.com,361000,"$ 36,176,000,000",Brian Niccol
127,Visa,Financial Data Services,San Francisco,California,94105,visa.com,31600,"$ 35,926,000,000",Ryan McInerney
128,CBRE,Real Estate,Dallas,Texas,75201,cbre.com,140000,"$ 35,767,000,000",Robert Sulentic
129,Lennar,Homebuilders,Miami,Florida,33126,lennar.com,13265,"$ 35,442,000,000",Jonathan Jaffe
130,GE Vernova,Energy,Cambridge,Massachusetts,2141,gevernova.com,76800,"$ 34,935,000,000",Scott Strazik
131,PNC,Commercial Banks,Pittsburgh,Pennsylvania,15222,pnc.com,54435,"$ 34,440,000,000",William Demchak
132,Cummins,Industrial Machinery,Columbus,Indiana,47201,cummins.com,69600,"$ 34,102,000,000",Jennifer Rumsey
133,Paccar,Motor Vehicles & Parts,Bellevue,Washington,98004,paccar.com,30100,"$ 33,664,000,000",Preston Feight
134,Amgen,Pharmaceuticals,Thousand Oaks,California,91320,amgen.com,28000,"$ 33,424,000,000",Robert Bradway
135,PBF Energy,Petroleum Refining,Parsippany,New Jersey,7054,pbfenergy.com,3855,"$ 33,115,000,000",Matthew Lucey
136,GuideWell Mutual,"Insurance: Life, Health (Stock)",Jacksonville,Florida,32246,guidewell.com,17936,"$ 32,955,000,000",Patrick Geraghty
137,PayPal,Financial Data Services,San Jose,California,95131,paypal.com,24400,"$ 31,797,000,000",Alex Chriss
138,United Natural Foods,Wholesalers: Food and Grocery,Providence,Rhode Island,2908,unfi.com,28333,"$ 30,980,000,000",Sandy Douglas
139,Dollar Tree,Specialty Retailers: Other,Chesapeake,Virginia,23320,dollartree.com,139572,"$ 30,846,000,000","Michael Creedon, Jr."
140,Nucor,Metals,Charlotte,North Carolina,28211,nucor.com,32700,"$ 30,734,000,000",Leon Topalian
141,Penske Automotive,"Automotive Retailing, Services",Bloomfield Hills,Michigan,48302,penskeautomotive.com,28938,"$ 30,455,000,000",Roger Penske
142,Coupang,Internet Services and Retailing,Seattle,Washington,98101,aboutcoupang.com,95000,"$ 30,268,000,000",Bom Kim
143,Hewlett Packard,"Computers, Office Equipment",Spring,Texas,77389,hpe.com,61000,"$ 30,127,000,000",Antonio Neri
144,Duke Energy,Utilities: Gas and Electric,Charlotte,North Carolina,28202,duke-energy.com,26413,"$ 29,938,000,000",Harry Sideris
145,KKR,Securities,New York,New York,10001,kkr.com,4834,"$ 29,880,000,000",Joseph Bae
146,Ferguson,Wholesalers: Diversified,Newport News,Virginia,23606,ferguson.com,35000,"$ 29,635,000,000",Kevin Murphy
147,Paramount,Entertainment,New York,New York,10036,paramount.com,20350,"$ 29,213,000,000",David Ellison
148,Jabil,Semiconductors and Other Electronic Components,St. Petersburg,Florida,33716,jabil.com,138000,"$ 28,883,000,000",Michael Dastoor
149,Gilead Sciences,Pharmaceuticals,Foster City,California,94404,gilead.com,17600,"$ 28,754,000,000",Daniel O'Day
150,HF Sinclair,Petroleum Refining,Dallas,Texas,75219,hfsinclair.com,5297,"$ 28,580,000,000",Tim Go
151,CarMax,"Automotive Retailing, Services",Richmond,Virginia,23238,carmax.com,29836,"$ 28,213,000,000",William Nash
152,Mastercard,Financial Data Services,Purchase,New York,10577,mastercard.com,35300,"$ 28,167,000,000",Michael Miebach
153,NRG Energy,Energy,Houston,Texas,77002,nrg.com,15637,"$ 28,130,000,000",Lawrence Coben
154,Arrow Electronics,Wholesalers: Electronics and Office Equipment,Centennial,Colorado,80112,arrow.com,21520,"$ 27,923,000,000",Sean Kerins
155,Baker Hughes,"Oil and Gas Equipment, Services",Houston,Texas,77079,bakerhughes.com,57000,"$ 27,829,000,000",Lorenzo Simonelli
156,Southwest Airlines,Airlines,Dallas,Texas,75235,southwest.com,72450,"$ 27,483,000,000",Robert Jordan
157,American International,Insurance: Property and Casualty (Stock),New York,New York,10020,aig.com,22200,"$ 27,251,000,000",Peter Zaffino
158,Applied Materials,Semiconductors and Other Electronic Components,Santa Clara,California,95054,appliedmaterials.com,35700,"$ 27,176,000,000",Gary Dickerson
159,Occidental Petroleum,"Mining, Crude-Oil Production",Houston,Texas,77046,oxy.com,13323,"$ 26,880,000,000",Vicki Hollub
160,AutoNation,"Automotive Retailing, Services",Fort Lauderdale,Florida,33301,autonation.com,25100,"$ 26,765,000,000",Michael Manley
161,Southern,Utilities: Gas and Electric,Atlanta,Georgia,30308,southerncompany.com,28457,"$ 26,724,000,000",Christopher Womack
162,Hartford Insurance,Insurance: Property and Casualty (Stock),Hartford,Connecticut,6155,thehartford.com,19100,"$ 26,535,000,000",Christopher Swift
163,Apollo Global Management,Securities,New York,New York,10019,apollo.com,5108,"$ 26,262,000,000",Marc Rowan
164,Charles Schwab,Securities,Westlake,Texas,76262,aboutschwab.com,32100,"$ 25,999,000,000",Richard Wurster
165,McDonald's,Food Services,Chicago,Illinois,60607,mcdonalds.com,150000,"$ 25,920,000,000",Christopher Kempczinski
166,Kraft Heinz,Food Consumer Products,Chicago,Illinois,60601,kraftheinzcompany.com,36000,"$ 25,846,000,000",Carlos Abrams-Rivera
167,Advanced Micro Devices,Semiconductors and Other Electronic Components,Santa Clara,California,95054,amd.com,28000,"$ 25,785,000,000",Lisa Su
168,Truist Financial,Commercial Banks,Charlotte,North Carolina,28202,truist.com,37552,"$ 25,612,000,000",William Rogers Jr.
169,Freeport-McMoRan,"Mining, Crude-Oil Production",Phoenix,Arizona,85004,fcx.com,28500,"$ 25,455,000,000",Kathleen Quirk
170,Micron Technology,Semiconductors and Other Electronic Components,Boise,Idaho,83716,micron.com,48000,"$ 25,111,000,000",Sanjay Mehrotra
171,Marriott International,"Hotels, Casinos, Resorts",Bethesda,Maryland,20814,marriott.com,155000,"$ 25,100,000,000",Anthony Capuano
172,Carrier Global,Industrial Machinery,Palm Beach Gardens,Florida,33418,carrier.com,48000,"$ 24,809,000,000",David Gitlin
173,NextEra Energy,Utilities: Gas and Electric,Juno Beach,Florida,33408,nexteraenergy.com,16800,"$ 24,753,000,000",John Ketchum
174,3M,Chemicals,St. Paul,Minnesota,55144,3m.com,61500,"$ 24,575,000,000",William Brown
175,Marsh & McLennan,Diversified Financials,New York,New York,10036,marshmclennan.com,90000,"$ 24,458,000,000",John Doyle
176,PG&E,Utilities: Gas and Electric,Oakland,California,94612,pgecorp.com,28410,"$ 24,419,000,000",Patricia Poppe
177,Union Pacific,Railroads,Omaha,Nebraska,68179,up.com,32439,"$ 24,250,000,000",Jim Vena
178,Synchrony Financial,Diversified Financials,Stamford,Connecticut,6902,synchrony.com,20000,"$ 24,166,000,000",Brian Doubles
179,Block,Financial Data Services,Oakland,California,94612,block.xyz,11372,"$ 24,121,000,000",Jack Dorsey
180,Danaher,Medical Products and Equipment,Washington,District Of Columbia,20037,danaher.com,62000,"$ 23,875,000,000",Rainer Blair
181,Avnet,Wholesalers: Electronics and Office Equipment,Phoenix,Arizona,85034,avnet.com,15462,"$ 23,757,000,000",Philip Gallagher
182,Booking s,Internet Services and Retailing,Norwalk,Connecticut,6854,bookingholdings.com,24179,"$ 23,739,000,000",Glenn Fogel
183,EOG Resources,"Mining, Crude-Oil Production",Houston,Texas,77002,eogresources.com,3150,"$ 23,698,000,000",Ezra Yacob
184,Quanta Services,Engineering & Construction,Houston,Texas,77008,quantaservices.com,58400,"$ 23,673,000,000",Earl Austin Jr.
185,Discover Financial,Diversified Financials,Riverwoods,Illinois,60015,discover.com,21000,"$ 23,634,000,000",Michael Shepherd
186,Constellation Energy,Energy,Baltimore,Maryland,21231,constellationenergy.com,14240,"$ 23,568,000,000",Joseph Dominguez
187,Genuine Parts,Wholesalers: Diversified,Atlanta,Georgia,30339,genpt.com,63000,"$ 23,487,000,000",William Stengel II
188,Jones Lang LaSalle,Real Estate,Chicago,Illinois,60601,jll.com,112100,"$ 23,433,000,000",Christian Ulbrich
189,Lear,Motor Vehicles & Parts,Southfield,Michigan,48033,lear.com,173700,"$ 23,306,000,000",Raymond Scott
190,Live Nation Entertainment,Entertainment,Beverly Hills,California,90210,livenationentertainment.com,24200,"$ 23,156,000,000",Michael Rapino
191,Sherwin-Williams,Chemicals,Cleveland,Ohio,44115,sherwin-williams.com,63890,"$ 23,099,000,000",Heidi Petz
192,Exelon,Utilities: Gas and Electric,Chicago,Illinois,60603,exeloncorp.com,20014,"$ 23,028,000,000",Calvin Butler Jr.
193,Macy's,General Merchandisers,New York,New York,10001,macysinc.com,94189,"$ 23,006,000,000",Tony Spring
194,Halliburton,"Oil and Gas Equipment, Services",Houston,Texas,77032,halliburton.com,48000,"$ 22,944,000,000",Jeffrey Miller
195,Stryker,Medical Products and Equipment,Portage,Michigan,49002,stryker.com,53000,"$ 22,595,000,000",Kevin Lobo
196,Reinsurance of America,"Insurance: Life, Health (Stock)",Chesterfield,Missouri,63017,rgare.com,4100,"$ 22,107,000,000",Tony Cheng
197,Waste Management,Waste Management,Houston,Texas,77002,wm.com,61700,"$ 22,063,000,000",James Fish Jr.
198,State Street,Commercial Banks,Boston,Massachusetts,2114,statestreet.com,52626,"$ 22,054,000,000",Ronald O'Hanley
199,WESCO International,Wholesalers: Diversified,Pittsburgh,Pennsylvania,15219,wesco.com,20000,"$ 21,819,000,000",John Engel
200,Oneok,Pipelines,Tulsa,Oklahoma,74103,oneok.com,5177,"$ 21,698,000,000",Pierce Norton II
201,Adobe,Computer Software,San Jose,California,95110,adobe.com,30709,"$ 21,505,000,000",Shantanu Narayen
202,American Family Insurance,Insurance: Property and Casualty (Stock),Madison,Wisconsin,53783,amfam.com,11073,"$ 21,339,000,000",William Westrate
203,L3Harris Technologies,Aerospace & Defense,Melbourne,Florida,32919,l3harris.com,47000,"$ 21,325,000,000",Christopher Kubasik
204,Ross Stores,Specialty Retailers: Apparel,Dublin,California,94568,rossstores.com,107000,"$ 21,129,000,000",James Conroy
205,CDW,Information Technology Services,Vernon Hills,Illinois,60061,cdw.com,15100,"$ 20,999,000,000",Christine Leahy
206,Tenet Healthcare,Health Care: Medical Facilities,Dallas,Texas,75254,tenethealth.com,86240,"$ 20,665,000,000",Saumya Sutaria
207,BJ's Wholesale Club,General Merchandisers,Marlborough,Massachusetts,1752,bjs.com,33000,"$ 20,502,000,000",Robert Eddy
208,Fiserv,Financial Data Services,Milwaukee,Wisconsin,53203,fiserv.com,38000,"$ 20,456,000,000",Michael Lyons
209,Altria,Tobacco,Richmond,Virginia,23230,altria.com,6200,"$ 20,444,000,000",William Gifford Jr.
210,BlackRock,Securities,New York,New York,10001,blackrock.com,21100,"$ 20,407,000,000",Laurence Fink
211,Becton Dickinson,Medical Products and Equipment,Franklin Lakes,New Jersey,7417,bd.com,74000,"$ 20,178,000,000",Thomas Polen
212,Colgate-Palmolive,Household and Personal Products,New York,New York,10022,colgatepalmolive.com,34000,"$ 20,101,000,000",Noel Wallace
213,Kimberly-Clark,Household and Personal Products,Irving,Texas,75038,kimberly-clark.com,38000,"$ 20,058,000,000",Michael Hsu
214,1 Automotive,"Automotive Retailing, Services",Houston,Texas,77024,group1auto.com,20413,"$ 19,934,000,000",Daryl Kenningham
215,Parker-Hannifin,Industrial Machinery,Cleveland,Ohio,44124,parker.com,61120,"$ 19,930,000,000",Jennifer Parmentier
216,General Mills,Food Consumer Products,Minneapolis,Minnesota,55426,generalmills.com,34000,"$ 19,857,000,000",Jeffrey Harmening
217,Cognizant Technology,Information Technology Services,Teaneck,New Jersey,7666,cognizant.com,336800,"$ 19,736,000,000",Ravi Kumar S
218,American Electric Power,Utilities: Gas and Electric,Columbus,Ohio,43215,aep.com,16330,"$ 19,721,000,000",William Fehrman
219,GE HealthCare Technologies,Medical Products and Equipment,Chicago,Illinois,60661,gehealthcare.com,53000,"$ 19,672,000,000",Peter Arduini
220,Automatic Data Processing,Diversified Outsourcing Services,Roseland,New Jersey,7068,adp.com,64000,"$ 19,203,000,000",Maria Black
221,Cleveland-Cliffs,Metals,Cleveland,Ohio,44114,clevelandcliffs.com,30000,"$ 19,185,000,000",Lourenco Goncalves
